Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
43.47826,21.295784,113.0,11.0,43.47826086956522,38.576923,15.571604,105.0,12.0,38.57692307692308,-0.01664656586945057,126.6810073852539,65157,8.603509902954102,,12
44.065216,21.736969,126.0,9.0,44.06521739130435,41.32787,19.180952,153.0,11.0,41.32786885245902,-0.010854492895305157,144.5476531982422,70199,9.232264995574951,,13
45.555557,15.099014,87.0,19.0,45.55555555555556,41.49587,17.444185,99.0,9.0,41.49586776859504,-0.012514873407781124,109.6111068725586,75220,9.836143970489502,,14
48.02381,19.65111,96.0,16.0,48.023809523809526,41.816666,19.201122,90.0,9.0,41.81666666666667,-0.018966026604175568,112.00434875488281,80238,10.444418907165527,,15
50.975,23.25563,129.0,9.0,50.975,45.95413,16.428541,87.0,12.0,45.95412844036697,-0.017739782109856606,103.7802505493164,85247,11.246291160583496,,16
55.324326,22.008663,119.0,16.0,55.32432432432432,50.18,17.21533,112.0,6.0,50.18,-0.01806805655360222,107.6605453491211,90265,11.884363889694214,,17
51.76923,21.535257,127.0,10.0,51.76923076923077,51.97938,19.497278,127.0,14.0,51.97938144329897,-0.009583713486790657,141.44163513183594,95307,12.497824907302856,,18
48.809525,16.653667,99.0,15.0,48.80952380952381,52.354168,18.856907,122.0,14.0,52.354166666666664,-0.021557483822107315,111.16805267333984,100333,13.150789022445679,,19
52.410255,21.075832,115.0,12.0,52.41025641025641,55.131866,19.2195,107.0,22.0,55.13186813186813,-0.022209348157048225,123.25791931152344,105350,13.755754947662354,,20
59.514286,35.626133,229.0,16.0,59.51428571428571,55.31868,22.853994,148.0,15.0,55.31868131868132,-0.026861093938350677,147.47511291503906,110384,14.378673076629639,,21
72.0,35.501335,179.0,32.0,72.0,59.940475,21.885717,120.0,9.0,59.94047619047619,-0.042241550981998444,120.31390380859375,115419,14.985869884490967,,22
65.40625,29.934156,143.0,31.0,65.40625,58.24138,24.353228,152.0,18.0,58.241379310344826,-0.026620006188750267,168.04571533203125,120486,15.750915050506592,,23
64.80645,23.020914,121.0,28.0,64.80645161290323,64.128204,34.00843,221.0,15.0,64.12820512820512,-0.01776297762989998,266.9863586425781,125488,16.39171290397644,,24
75.62963,35.22746,165.0,31.0,75.62962962962963,67.91892,34.953156,174.0,16.0,67.91891891891892,-0.03307162970304489,257.49993896484375,130514,17.007937908172607,,25
78.03704,35.286636,161.0,21.0,78.03703703703704,74.731346,37.169872,160.0,15.0,74.73134328358209,-0.038277145475149155,272.38934326171875,135521,17.69153904914856,,26
88.26087,28.82363,160.0,35.0,88.26086956521739,77.87692,36.120953,191.0,13.0,77.87692307692308,-0.05268116667866707,287.9596862792969,140583,18.324941873550415,,27
97.04762,45.37303,221.0,27.0,97.04761904761905,88.2807,38.48935,206.0,15.0,88.28070175438596,-0.014950542710721493,275.7973937988281,145615,18.94768714904785,,28
100.25,30.696701,166.0,56.0,100.25,82.36066,25.49126,144.0,22.0,82.36065573770492,-0.040539566427469254,212.9987335205078,150639,19.556445121765137,,29
93.90909,29.764086,166.0,61.0,93.9090909090909,91.29091,39.303795,289.0,37.0,91.2909090909091,-0.020455021411180496,237.26739501953125,155660,20.226594924926758,,30
80.4,35.112392,209.0,16.0,80.4,90.17857,27.373804,163.0,24.0,90.17857142857143,-0.006203948054462671,157.27137756347656,160710,20.89348292350769,,31
80.30769,21.465122,125.0,36.0,80.3076923076923,84.98305,28.3516,192.0,26.0,84.98305084745763,-0.03755463659763336,155.63482666015625,165724,21.540668964385986,,32
82.52,21.479515,130.0,51.0,82.52,87.293106,32.658108,193.0,38.0,87.29310344827586,-0.027376024052500725,164.16683959960938,170787,22.418860912322998,,33
107.31579,31.073854,193.0,74.0,107.3157894736842,92.64815,35.34861,179.0,29.0,92.64814814814815,-0.023751726374030113,153.02700805664062,175790,23.178686141967773,,34
94.36364,35.75618,156.0,16.0,94.36363636363636,90.625,29.45915,188.0,39.0,90.625,-0.018237607553601265,140.26669311523438,180865,23.950237035751343,,35
