Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
100.0,30.109798,138.0,49.0,100.0,88.2807,29.108843,175.0,28.0,88.28070175438596,131.6042022705078,165751,13.509753942489624,,32
114.22222,47.550625,170.0,30.0,114.22222222222223,103.42857,39.54073,240.0,28.0,103.42857142857143,160.50485229492188,170819,13.887119770050049,,33
140.5,45.574116,233.0,97.0,140.5,121.28571,58.394096,243.0,29.0,121.28571428571429,202.1455841064453,175913,14.261335134506226,,34
102.0,33.722397,149.0,29.0,102.0,125.75,63.723133,337.0,27.0,125.75,211.7777557373047,180943,14.630139827728271,,35
115.77778,35.080154,165.0,57.0,115.77777777777777,99.15385,42.71119,291.0,27.0,99.15384615384616,155.91175842285156,186099,15.100689888000488,,36
130.75,44.132614,191.0,64.0,130.75,113.46667,46.630272,233.0,22.0,113.46666666666667,178.7838592529297,191205,15.489119052886963,,37
102.5,35.04069,160.0,54.0,102.5,122.097565,55.88481,291.0,35.0,122.09756097560975,198.79244995117188,196211,15.904183864593506,,38
91.09091,50.57929,218.0,26.0,91.0909090909091,97.11539,47.842953,232.0,17.0,97.11538461538461,160.259033203125,201261,16.30146098136902,,39
84.583336,21.569494,107.0,42.0,84.58333333333333,93.48148,26.168074,151.0,31.0,93.48148148148148,134.8782501220703,206309,16.71496605873108,,40
90.90909,25.101446,124.0,48.0,90.9090909090909,80.66129,26.636707,132.0,19.0,80.66129032258064,118.06378936767578,211310,17.089442014694214,,41
